"group","age_at_entry"
1,52.7469317828461
1,39.8633611506001
1,56.108750192546
1,47.0058241899825
1,31.3723110707915
1,51.6464772883156
1,38.2357089856629
1,37.4075966449134
1,45.2318641360753
1,45.6813986352794
1,48.641220904195
1,37.0635572558438
1,38.6436208215741
1,51.5767118732988
1,40.824826298683
1,33.9871814755189
1,46.9441806606898
1,52.3758535905413
1,31.0706955765448
1,47.1008891574711
1,46.1493189699041
1,52.8066442189193
1,48.5885646754335
1,40.6298568580301
1,57.3801049768557
1,38.9778272298636
1,48.5072784007998
1,50.9193704080454
1,40.9979185701938
1,36.4664342164655
1,51.1523249385265
1,44.0978681843788
1,43.9652610142676
1,58.3855318129915
1,32.2809020470365
1,42.7675905739618
1,40.5770246061257
1,32.0282479101379
1,52.4081357084586
1,38.33927231223
1,32.9368515861564
1,47.5117039195507
2,40.8065415576335
2,43.7206765605843
2,36.7797655060475
2,40.0823910671772
2,54.7720525845823
2,42.0996361789612
2,43.3162992041675
2,41.6210641680839
2,45.2312816917909
2,37.822607932258
2,50.8428076517766
2,33.9826967386726
2,49.5923648915443
2,31.2970328041809
2,30.9838068200859
2,41.2013515868855
2,42.7784642589594
2,43.4989633428792
2,45.8764307752918
2,34.5833633696943
2,30.7296547162399
2,39.6329425615578
2,43.4345642739837
2,40.4295847251017
2,35.6327320718682
2,36.3432308102637
2,45.8715845989953
2,39.2757544717777
2,38.8692805298391
2,41.852028083817
2,37.8040778141269
2,39.8239366731215
2,37.2285727178012
2,40.5856099354103
2,49.8176023046841
2,47.7819944886952
2,50.7564328586904
2,60.2566866648648
2,41.6427202716315
2,57.5903593603641
2,41.9028951332914
2,31.1682021226732
2,32.3407762359011
2,52.3590951858677
2,40.2155463896279
2,39.7160373389786
2,36.9135293401541
2,28.3335594503361
2,44.9605802923822
2,50.2717935002722
2,48.4257156409331
2,42.6682728281966
2,30.2089774927937
2,48.9323054542429
2,37.0451775264996
2,37.8417958148014
2,34.538720766265
2,35.4146307670686
2,42.6573729938985
2,42.4637736859665
2,35.0654071386307
2,41.4951950959566
2,40.4372021415556
2,41.0005641005384
2,45.7478454121143
2,39.3781010130873
2,35.5728641016083
2,37.5114435745389
2,36.0296091840069
2,30.6945554119499
2,49.7454333589495
2,38.9697277831458
2,46.2217280085584
2,42.2937458201031
2,46.1029086205361
